year,geography_name,geography,sex,race_ethnicity,age_category,metric_name,metric_value,lower_bound,upper_bound,uncertainty_type,source,category,quality_flag,candida_auris_case_type,blood_lead_level,fatal_nonfatal_shootings,leading_cause_death,leading_cause_death_rank,drug_category,aqi_category,syphilis_transmission_category,smoke_type,objectid
2014,Philadelphia,County,All sexes,Black (NH),All ages,count_deaths,94,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Prostate cancer,4,NA,NA,NA,NA,2261
2020,Philadelphia,County,All sexes,Black (NH),All ages,count_deaths,93,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Colorectal cancer,4,NA,NA,NA,NA,2262
2015,Philadelphia,County,Male,Hispanic,All ages,count_deaths,18,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Lung cancer,1,NA,NA,NA,NA,2263
2014,Philadelphia,County,All sexes,Asian/PI (NH),All ages,count_deaths,18,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Lung cancer,1,NA,NA,NA,NA,2264
2014,Philadelphia,County,All sexes,Hispanic,All ages,count_deaths,18,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Colorectal cancer,2,NA,NA,NA,NA,2265
2016,Philadelphia,County,Male,Hispanic,All ages,count_deaths,17,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Lung cancer,1,NA,NA,NA,NA,2266
2012,Philadelphia,County,Male,Asian/PI (NH),All ages,count_deaths,17,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Lung cancer,1,NA,NA,NA,NA,2267
2020,Philadelphia,County,Female,Asian/PI (NH),All ages,count_deaths,16,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Lung cancer,1,NA,NA,NA,NA,2268
2018,Philadelphia,County,Female,Hispanic,All ages,count_deaths,-99999,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Lung cancer,NA,NA,NA,NA,NA,2269
2018,Philadelphia,County,Male,Asian/PI (NH),All ages,count_deaths,-99999,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Prostate cancer,NA,NA,NA,NA,NA,2270
2018,Philadelphia,County,All sexes,Asian/PI (NH),All ages,count_deaths,-99999,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Breast cancer,NA,NA,NA,NA,NA,2271
2018,Philadelphia,County,All sexes,Asian/PI (NH),All ages,count_deaths,-99999,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Prostate cancer,NA,NA,NA,NA,NA,2272
2018,Philadelphia,County,Male,All races/ethnicities,All ages,count_deaths,-99999,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Breast cancer,NA,NA,NA,NA,NA,2273
2017,Philadelphia,County,Female,Asian/PI (NH),All ages,count_deaths,-99999,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Breast cancer,NA,NA,NA,NA,NA,2274
2017,Philadelphia,County,Male,Asian/PI (NH),All ages,count_deaths,-99999,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Breast cancer,NA,NA,NA,NA,NA,2275
2021,Philadelphia,County,All sexes,All races/ethnicities,All ages,count_deaths,2727,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,Preliminary estimate,NA,NA,NA,Cancer,2,NA,NA,NA,NA,2276
2021,Philadelphia,County,Male,All races/ethnicities,All ages,count_deaths,1858,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,Preliminary estimate,NA,NA,NA,Heart disease,1,NA,NA,NA,NA,2277
2021,Philadelphia,County,All sexes,Black (NH),All ages,count_deaths,1810,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,Preliminary estimate,NA,NA,NA,Heart disease,1,NA,NA,NA,NA,2278
2021,Philadelphia,County,Female,All races/ethnicities,All ages,count_deaths,1615,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,Preliminary estimate,NA,NA,NA,Heart disease,1,NA,NA,NA,NA,2279
2021,Philadelphia,County,All sexes,All races/ethnicities,All ages,count_deaths,1569,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,Preliminary estimate,NA,NA,NA,COVID-19,3,NA,NA,NA,NA,2280
2021,Philadelphia,County,All sexes,White (NH),All ages,count_deaths,1398,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,Preliminary estimate,NA,NA,NA,Heart disease,1,NA,NA,NA,NA,2281
2021,Philadelphia,County,Female,All races/ethnicities,All ages,count_deaths,1378,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,Preliminary estimate,NA,NA,NA,Cancer,2,NA,NA,NA,NA,2282
2016,Philadelphia,County,All sexes,White (NH),All ages,count_deaths,90,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Breast cancer,3,NA,NA,NA,NA,2283
2017,Philadelphia,County,Male,Black (NH),All ages,count_deaths,89,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Prostate cancer,2,NA,NA,NA,NA,2284
2017,Philadelphia,County,All sexes,Black (NH),All ages,count_deaths,89,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Prostate cancer,4,NA,NA,NA,NA,2285
2016,Philadelphia,County,Female,White (NH),All ages,count_deaths,89,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Breast cancer,2,NA,NA,NA,NA,2286
2012,Philadelphia,County,All sexes,White (NH),All ages,count_deaths,88,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Breast cancer,3,NA,NA,NA,NA,2287
2018,Philadelphia,County,Female,White (NH),All ages,count_deaths,87,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Breast cancer,2,NA,NA,NA,NA,2288
2018,Philadelphia,County,Female,Black (NH),All ages,count_deaths,87,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Colorectal cancer,3,NA,NA,NA,NA,2289
2019,Philadelphia,County,All sexes,Asian/PI (NH),All ages,count_deaths,16,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Lung cancer,1,NA,NA,NA,NA,2290
2018,Philadelphia,County,All sexes,Hispanic,All ages,count_deaths,16,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Colorectal cancer,3,NA,NA,NA,NA,2291
2017,Philadelphia,County,All sexes,Asian/PI (NH),All ages,count_deaths,16,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Lung cancer,1,NA,NA,NA,NA,2292
2017,Philadelphia,County,All sexes,Hispanic,All ages,count_deaths,16,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Lung cancer,2,NA,NA,NA,NA,2293
2015,Philadelphia,County,All sexes,Asian/PI (NH),All ages,count_deaths,16,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Lung cancer,1,NA,NA,NA,NA,2294
2020,Philadelphia,County,Male,Asian/PI (NH),All ages,count_deaths,15,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Lung cancer,1,NA,NA,NA,NA,2295
2020,Philadelphia,County,Male,Hispanic,All ages,count_deaths,15,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Lung cancer,1,NA,NA,NA,NA,2296
2017,Philadelphia,County,Male,Black (NH),All ages,count_deaths,-99999,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Breast cancer,NA,NA,NA,NA,NA,2297
2017,Philadelphia,County,Male,Hispanic,All ages,count_deaths,-99999,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Breast cancer,NA,NA,NA,NA,NA,2298
2017,Philadelphia,County,Male,White (NH),All ages,count_deaths,-99999,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Breast cancer,NA,NA,NA,NA,NA,2299
2017,Philadelphia,County,Female,Asian/PI (NH),All ages,count_deaths,-99999,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Colorectal cancer,NA,NA,NA,NA,NA,2300
2017,Philadelphia,County,Male,Asian/PI (NH),All ages,count_deaths,-99999,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Colorectal cancer,NA,NA,NA,NA,NA,2301
2017,Philadelphia,County,Female,Hispanic,All ages,count_deaths,-99999,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Colorectal cancer,NA,NA,NA,NA,NA,2302
2017,Philadelphia,County,Female,Asian/PI (NH),All ages,count_deaths,-99999,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Lung cancer,NA,NA,NA,NA,NA,2303
2021,Philadelphia,County,Male,All races/ethnicities,All ages,count_deaths,1349,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,Preliminary estimate,NA,NA,NA,Cancer,2,NA,NA,NA,NA,2304
2021,Philadelphia,County,All sexes,Black (NH),All ages,count_deaths,1290,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,Preliminary estimate,NA,NA,NA,Cancer,2,NA,NA,NA,NA,2305
2021,Philadelphia,County,All sexes,White (NH),All ages,count_deaths,1145,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,Preliminary estimate,NA,NA,NA,Cancer,2,NA,NA,NA,NA,2306
2021,Philadelphia,County,All sexes,All races/ethnicities,All ages,count_deaths,1120,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,Preliminary estimate,NA,NA,NA,Drug overdoses,4,NA,NA,NA,NA,2307
2021,Philadelphia,County,Male,Black (NH),All ages,count_deaths,934,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,Preliminary estimate,NA,NA,NA,Heart disease,1,NA,NA,NA,NA,2308
2021,Philadelphia,County,Female,Black (NH),All ages,count_deaths,876,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,Preliminary estimate,NA,NA,NA,Heart disease,1,NA,NA,NA,NA,2309
2021,Philadelphia,County,Male,All races/ethnicities,All ages,count_deaths,796,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,Preliminary estimate,NA,NA,NA,COVID-19,3,NA,NA,NA,NA,2310
2018,Philadelphia,County,All sexes,White (NH),All ages,count_deaths,87,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Breast cancer,3,NA,NA,NA,NA,2311
2017,Philadelphia,County,All sexes,White (NH),All ages,count_deaths,87,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Breast cancer,3,NA,NA,NA,NA,2312
2012,Philadelphia,County,Female,White (NH),All ages,count_deaths,87,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Breast cancer,2,NA,NA,NA,NA,2313
2019,Philadelphia,County,Male,Black (NH),All ages,count_deaths,85,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Prostate cancer,2,NA,NA,NA,NA,2314
2019,Philadelphia,County,All sexes,Black (NH),All ages,count_deaths,85,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Prostate cancer,4,NA,NA,NA,NA,2315
2017,Philadelphia,County,Female,White (NH),All ages,count_deaths,85,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Breast cancer,2,NA,NA,NA,NA,2316
2015,Philadelphia,County,Female,White (NH),All ages,count_deaths,85,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Breast cancer,2,NA,NA,NA,NA,2317
2020,Philadelphia,County,All sexes,Asian/PI (NH),All ages,count_deaths,15,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Colorectal cancer,2,NA,NA,NA,NA,2318
2017,Philadelphia,County,All sexes,Hispanic,All ages,count_deaths,15,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Breast cancer,3,NA,NA,NA,NA,2319
2015,Philadelphia,County,All sexes,Hispanic,All ages,count_deaths,15,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Colorectal cancer,2,NA,NA,NA,NA,2320
2013,Philadelphia,County,Male,Asian/PI (NH),All ages,count_deaths,15,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Lung cancer,1,NA,NA,NA,NA,2321
2012,Philadelphia,County,Male,Hispanic,All ages,count_deaths,15,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Lung cancer,1,NA,NA,NA,NA,2322
2020,Philadelphia,County,All sexes,Hispanic,All ages,count_deaths,14,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Colorectal cancer,2,NA,NA,NA,NA,2323
2019,Philadelphia,County,All sexes,Hispanic,All ages,count_deaths,14,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Colorectal cancer,2,NA,NA,NA,NA,2324
2017,Philadelphia,County,Male,Asian/PI (NH),All ages,count_deaths,-99999,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Lung cancer,NA,NA,NA,NA,NA,2325
2017,Philadelphia,County,Female,Hispanic,All ages,count_deaths,-99999,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Lung cancer,NA,NA,NA,NA,NA,2326
2017,Philadelphia,County,Male,Asian/PI (NH),All ages,count_deaths,-99999,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Prostate cancer,NA,NA,NA,NA,NA,2327
2017,Philadelphia,County,Male,Hispanic,All ages,count_deaths,-99999,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Prostate cancer,NA,NA,NA,NA,NA,2328
2017,Philadelphia,County,All sexes,Asian/PI (NH),All ages,count_deaths,-99999,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Breast cancer,NA,NA,NA,NA,NA,2329
2017,Philadelphia,County,All sexes,Asian/PI (NH),All ages,count_deaths,-99999,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Colorectal cancer,NA,NA,NA,NA,NA,2330
2017,Philadelphia,County,All sexes,Asian/PI (NH),All ages,count_deaths,-99999,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Prostate cancer,NA,NA,NA,NA,NA,2331
2021,Philadelphia,County,Male,All races/ethnicities,All ages,count_deaths,785,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,Preliminary estimate,NA,NA,NA,Drug overdoses,4,NA,NA,NA,NA,2332
2021,Philadelphia,County,Female,All races/ethnicities,All ages,count_deaths,773,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,Preliminary estimate,NA,NA,NA,COVID-19,3,NA,NA,NA,NA,2333
2021,Philadelphia,County,Male,White (NH),All ages,count_deaths,767,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,Preliminary estimate,NA,NA,NA,Heart disease,1,NA,NA,NA,NA,2334
2021,Philadelphia,County,All sexes,All races/ethnicities,All ages,count_deaths,734,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,Preliminary estimate,NA,NA,NA,Cerebrovascular diseases,5,NA,NA,NA,NA,2335
2021,Philadelphia,County,All sexes,Black (NH),All ages,count_deaths,713,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,Preliminary estimate,NA,NA,NA,COVID-19,3,NA,NA,NA,NA,2336
2021,Philadelphia,County,Female,Black (NH),All ages,count_deaths,696,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,Preliminary estimate,NA,NA,NA,Cancer,2,NA,NA,NA,NA,2337
2021,Philadelphia,County,Female,White (NH),All ages,count_deaths,631,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,Preliminary estimate,NA,NA,NA,Heart disease,1,NA,NA,NA,NA,2338
2015,Philadelphia,County,All sexes,White (NH),All ages,count_deaths,85,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Breast cancer,3,NA,NA,NA,NA,2339
2021,Philadelphia,County,All sexes,White (NH),All ages,count_deaths,81,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,Preliminary estimate,NA,NA,NA,Breast cancer,3,NA,NA,NA,NA,2340
2016,Philadelphia,County,Female,Black (NH),All ages,count_deaths,80,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Colorectal cancer,3,NA,NA,NA,NA,2341
2021,Philadelphia,County,Female,White (NH),All ages,count_deaths,79,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,Preliminary estimate,NA,NA,NA,Breast cancer,2,NA,NA,NA,NA,2342
2014,Philadelphia,County,Male,White (NH),All ages,count_deaths,77,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Colorectal cancer,2,NA,NA,NA,NA,2343
2013,Philadelphia,County,Male,Black (NH),All ages,count_deaths,76,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Colorectal cancer,3,NA,NA,NA,NA,2344
2019,Philadelphia,County,All sexes,White (NH),All ages,count_deaths,75,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Breast cancer,3,NA,NA,NA,NA,2345
2018,Philadelphia,County,All sexes,Asian/PI (NH),All ages,count_deaths,14,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Colorectal cancer,2,NA,NA,NA,NA,2346
2012,Philadelphia,County,All sexes,Hispanic,All ages,count_deaths,14,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Colorectal cancer,2,NA,NA,NA,NA,2347
2017,Philadelphia,County,Female,Hispanic,All ages,count_deaths,13,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Breast cancer,1,NA,NA,NA,NA,2348
2017,Philadelphia,County,Male,Hispanic,All ages,count_deaths,13,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Colorectal cancer,1,NA,NA,NA,NA,2349
2017,Philadelphia,County,Male,Hispanic,All ages,count_deaths,13,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Lung cancer,2,NA,NA,NA,NA,2350
2016,Philadelphia,County,Female,Hispanic,All ages,count_deaths,13,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Colorectal cancer,1,NA,NA,NA,NA,2351
2021,Philadelphia,County,All sexes,Asian/PI (NH),All ages,count_deaths,12,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,Preliminary estimate,NA,NA,NA,Colorectal cancer,2,NA,NA,NA,NA,2352
2017,Philadelphia,County,All sexes,Hispanic,All ages,count_deaths,-99999,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Prostate cancer,NA,NA,NA,NA,NA,2353
2017,Philadelphia,County,Male,All races/ethnicities,All ages,count_deaths,-99999,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Breast cancer,NA,NA,NA,NA,NA,2354
2016,Philadelphia,County,Female,Asian/PI (NH),All ages,count_deaths,-99999,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Breast cancer,NA,NA,NA,NA,NA,2355
2016,Philadelphia,County,Male,Asian/PI (NH),All ages,count_deaths,-99999,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Breast cancer,NA,NA,NA,NA,NA,2356
2016,Philadelphia,County,Male,Black (NH),All ages,count_deaths,-99999,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Breast cancer,NA,NA,NA,NA,NA,2357
2016,Philadelphia,County,Female,Hispanic,All ages,count_deaths,-99999,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Breast cancer,NA,NA,NA,NA,NA,2358
2016,Philadelphia,County,Male,Hispanic,All ages,count_deaths,-99999,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Breast cancer,NA,NA,NA,NA,NA,2359
2021,Philadelphia,County,Male,White (NH),All ages,count_deaths,598,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,Preliminary estimate,NA,NA,NA,Cancer,2,NA,NA,NA,NA,2360
2021,Philadelphia,County,Male,Black (NH),All ages,count_deaths,594,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,Preliminary estimate,NA,NA,NA,Cancer,2,NA,NA,NA,NA,2361
2021,Philadelphia,County,All sexes,White (NH),All ages,count_deaths,566,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,Preliminary estimate,NA,NA,NA,COVID-19,3,NA,NA,NA,NA,2362
2021,Philadelphia,County,Female,White (NH),All ages,count_deaths,547,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,Preliminary estimate,NA,NA,NA,Cancer,2,NA,NA,NA,NA,2363
2021,Philadelphia,County,All sexes,Black (NH),All ages,count_deaths,510,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,Preliminary estimate,NA,NA,NA,Drug overdoses,4,NA,NA,NA,NA,2364
2021,Philadelphia,County,Male,All races/ethnicities,All ages,count_deaths,478,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,Preliminary estimate,NA,NA,NA,Homicide,5,NA,NA,NA,NA,2365
2021,Philadelphia,County,All sexes,Black (NH),All ages,count_deaths,432,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,Preliminary estimate,NA,NA,NA,Homicide,5,NA,NA,NA,NA,2366
2019,Philadelphia,County,Female,White (NH),All ages,count_deaths,74,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Breast cancer,2,NA,NA,NA,NA,2367
2015,Philadelphia,County,Female,Black (NH),All ages,count_deaths,73,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Colorectal cancer,3,NA,NA,NA,NA,2368
2015,Philadelphia,County,Female,White (NH),All ages,count_deaths,73,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Colorectal cancer,3,NA,NA,NA,NA,2369
2015,Philadelphia,County,Male,White (NH),All ages,count_deaths,72,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Colorectal cancer,2,NA,NA,NA,NA,2370
2012,Philadelphia,County,Male,Black (NH),All ages,count_deaths,72,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Colorectal cancer,3,NA,NA,NA,NA,2371
2016,Philadelphia,County,Male,Black (NH),All ages,count_deaths,71,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Colorectal cancer,3,NA,NA,NA,NA,2372
2013,Philadelphia,County,Female,Black (NH),All ages,count_deaths,70,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Colorectal cancer,3,NA,NA,NA,NA,2373
2019,Philadelphia,County,All sexes,Asian/PI (NH),All ages,count_deaths,12,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Colorectal cancer,2,NA,NA,NA,NA,2374
2016,Philadelphia,County,Female,Asian/PI (NH),All ages,count_deaths,12,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Lung cancer,1,NA,NA,NA,NA,2375
2016,Philadelphia,County,All sexes,Asian/PI (NH),All ages,count_deaths,12,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Colorectal cancer,2,NA,NA,NA,NA,2376
2015,Philadelphia,County,Female,Hispanic,All ages,count_deaths,12,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Lung cancer,1,NA,NA,NA,NA,2377
2014,Philadelphia,County,Male,Hispanic,All ages,count_deaths,12,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Colorectal cancer,2,NA,NA,NA,NA,2378
2013,Philadelphia,County,Female,Hispanic,All ages,count_deaths,12,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Lung cancer,1,NA,NA,NA,NA,2379
2012,Philadelphia,County,Female,Hispanic,All ages,count_deaths,12,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Breast cancer,1,NA,NA,NA,NA,2380
2016,Philadelphia,County,Male,White (NH),All ages,count_deaths,-99999,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Breast cancer,NA,NA,NA,NA,NA,2381
2016,Philadelphia,County,Female,Asian/PI (NH),All ages,count_deaths,-99999,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Colorectal cancer,NA,NA,NA,NA,NA,2382
2016,Philadelphia,County,Male,Asian/PI (NH),All ages,count_deaths,-99999,-99999,-99999,NA,Pennsylvania Vital Registration System,Mortality and Life Expectancy,NA,NA,NA,NA,Colorectal cancer,NA,NA,NA,NA,NA,2383
